year,China,Frankreich,Indien,Israel,Pakistan,UK,Russland,USA
1945,0,0,0,0,0,0,0,2
1946,0,0,0,0,0,0,0,9
1947,0,0,0,0,0,0,0,13
1948,0,0,0,0,0,0,0,50
1949,0,0,0,0,0,0,1,170
1950,0,0,0,0,0,0,5,299
1951,0,0,0,0,0,0,25,438
1952,0,0,0,0,0,0,50,841
1953,0,0,0,0,0,1,120,1169
1954,0,0,0,0,0,5,150,1703
1955,0,0,0,0,0,10,200,2422
1956,0,0,0,0,0,50,426,3692
1957,0,0,0,0,0,58,660,5543
1958,0,0,0,0,0,60,863,7345
1959,0,0,0,0,0,78,1048,12298
1960,0,0,0,0,0,105,1627,18638
1961,0,0,0,0,0,155,2492,22229
1962,0,0,0,0,0,211,3346,25540
1963,0,0,0,0,0,256,4259,28133
1964,1,4,0,0,0,271,5242,29463
1965,5,32,0,0,0,271,6144,31139
1966,20,36,0,0,0,281,7091,31175
1967,25,36,0,2,0,355,8400,31255
1968,35,36,0,4,0,317,9490,29561
1969,50,36,0,6,0,306,10671,27552
1970,75,36,0,8,0,375,11736,26008
1971,100,45,0,11,0,412,13279,25830
1972,130,70,0,13,0,423,14600,26516
1973,150,116,0,15,0,500,15878,27835
1974,170,145,0,17,0,500,17286,28537
1975,180,188,0,20,0,500,19235,27519
1976,180,212,0,22,0,500,22165,25914
1977,180,228,0,24,0,500,24281,25542
1978,190,235,0,26,0,500,26169,24418
1979,195,235,0,29,0,500,28258,24138
1980,205,250,0,31,0,500,30665,24104
1981,210,274,0,33,0,500,32146,23208
1982,216,274,0,35,0,385,33486,22886
1983,218,279,0,38,0,380,35130,23305
1984,220,280,0,40,0,350,36825,23459
1985,222,360,0,42,0,350,38582,23368
1986,224,355,0,44,0,350,40159,23317
1987,226,420,0,47,0,350,38107,23575
1988,228,410,0,49,0,350,36538,23205
1989,230,410,0,51,0,350,35078,22217
1990,232,505,0,53,0,350,32980,21392
1991,234,540,0,56,0,350,29154,19008
1992,234,540,0,58,0,250,26734,13708
1993,234,525,0,60,0,250,24403,11511
1994,234,510,0,62,0,250,21339,10979
1995,234,500,0,63,0,234,18179,10904
1996,234,450,0,64,0,203,15942,11011
1997,232,450,0,66,0,203,15442,10903
1998,232,450,3,68,2,240,14368,10732
1999,232,450,8,70,8,240,13188,10685
2000,232,470,13,72,14,280,12188,10577
2001,235,350,18,74,20,280,11152,10526
2002,235,350,23,76,26,280,10114,10457
2003,235,350,28,78,32,280,9076,10027
2004,235,350,33,80,38,280,8038,8570
2005,235,350,38,80,44,280,7000,8360
2006,235,350,43,80,50,225,6643,7853
2007,235,350,50,80,60,225,6286,5709
2008,235,300,60,80,70,225,5929,5273
2009,240,300,70,80,80,225,5527,5113
2010,240,300,80,80,90,225,5215,4950
2011,240,300,90,80,100,225,4858,4763
2012,240,300,100,80,110,225,4500,4680
2013,250,300,110,80,120,225,4480,4650
2014,250,300,110,80,120,225,4300,4760
